CARBON CANYON - B ROUTE
50.7 MI
http://veloroutes.org/r/92473	

S	MYRTLE
INTO	Peck
R	DURFEE
STOP AND REGROUP	
INTO	PECK
INTO	WORKMAN MILL
INTO	NORWALK
STOP AND REGROUP	
L	WHITTIER
R	SCOTT
STOP PARNELL PARK	
L	LAMBERT
L	BREA BL
INTO	BREA CYN RD
R	DIAMOND BAR BL
STOP  	STARBUCKS
	505-A Grand Av
N	GRAND AV
L	CAMERON AV
STOP AND REGROUP	
R	SUNSET AV
INTO	IRWINDALE AV
L	ARROW HWY
STOP AND REGROUP	
R	AVENIDA BARBOSA
INTO	BUENA VISTA ST
L	ROYAL OAKS DR
	YADA YADA
